keyword,Lĩnh vực,violation_level
đồ chơi tình dục,Khiêu dâm,1
phim 18+,Khiêu dâm,1
tình 1 đêm,Khiêu dâm,1
tình một đêm,Khiêu dâm,1
xxx,Khiêu dâm,1
phòng the,Khiêu dâm,1
xuất tinh sớm,Khiêu dâm,1
jav,Khiêu dâm,1
phim cấp 3,Khiêu dâm,1
phim 3x,Khiêu dâm,1
phim sex việt,Khiêu dâm,1
ảnh nóng,Khiêu dâm,1
video nhạy cảm,Khiêu dâm,1
lộ clip,Khiêu dâm,1
clip nóng,Khiêu dâm,1
webcam sex,Khiêu dâm,1
live sex,Khiêu dâm,1
chat sex,Khiêu dâm,1
massage kích dục,Khiêu dâm,1
kích dục,Khiêu dâm,1
swing,Khiêu dâm,1
đổi vợ đổi chồng,Khiêu dâm,1
group sex,Khiêu dâm,1
milf,Khiêu dâm,1
gái bao,Khiêu dâm,1
trai bao,Khiêu dâm,1
gái bán hoa,Khiêu dâm,1
bán dâm,Khiêu dâm,1
môi giới mại dâm,Khiêu dâm,1
đường dây mại dâm,Khiêu dâm,1
đi khách,Khiêu dâm,1
boom phòng,Khiêu dâm,1
loạn luân,Khiêu dâm,1
ấu dâm,Khiêu dâm,1
khiêu dâm trẻ em,Khiêu dâm,1
xâm hại trẻ em,Khiêu dâm,1
child porn,Khiêu dâm,1
trường,Giáo dục,0
thcs,Giáo dục,0
ptth,Giáo dục,0
thpt,Giáo dục,0
trung học cơ sở,Giáo dục,0
trung học phổ thông,Giáo dục,0
phổ thông trung học,Giáo dục,0
tiểu học,Giáo dục,0
cấp 2,Giáo dục,0
cấp 3,Giáo dục,0
cấp 1,Giáo dục,0
trung cấp,Giáo dục,0
đại học ,Giáo dục,0
cao đẳng,Giáo dục,0
dạy nghề,Giáo dục,0
phòng giáo dục,Giáo dục,0
giáo dục thường xuyên,Giáo dục,0
trung tâm,Giáo dục,0
sở giáo dục,Giáo dục,0
giáo dục đào tạo,Giáo dục,0
trường mầm non,Giáo dục,0
trường quốc tế,Giáo dục,0
trường dân lập,Giáo dục,0
trường công lập,Giáo dục,0
trường tư thục,Giáo dục,0
trung tâm ngoại ngữ,Giáo dục,0
trung tâm gia sư,Giáo dục,0
luyện thi đại học,Giáo dục,0
ôn thi thpt quốc gia,Giáo dục,0
tuyển sinh,Giáo dục,0
học bổng,Giáo dục,0
du học,Giáo dục,0
chứng chỉ ielts,Giáo dục,0
chứng chỉ toefl,Giáo dục,0
đào tạo nghề,Giáo dục,0
giáo dục mầm non,Giáo dục,0
giáo dục đặc biệt,Giáo dục,0
trường nội trú,Giáo dục,0
trường chuyên,Giáo dục,0
lớp học thêm,Giáo dục,0
dạy thêm học thêm,Giáo dục,0
sách giáo khoa,Giáo dục,0
giáo trình,Giáo dục,0
thi tốt nghiệp,Giáo dục,0
kỳ thi tuyển sinh,Giáo dục,0
trường liên kết quốc tế,Giáo dục,0
hệ thống giáo dục,Giáo dục,0
bộ giáo dục,Giáo dục,0
sở giáo dục và đào tạo,Giáo dục,0
phòng giáo dục và đào tạo,Giáo dục,0
báo điện tử,Báo chí,0
thời sự,Báo chí,0
pháp luật,Báo chí,0
văn hóa,Báo chí,0
giải trí,Báo chí,0
trang thông tin điện tử,Báo chí,0
chuyên mục,Báo chí,0
thời báo,Báo chí,0
thông tấn xã,Báo chí,0
tình yêu - giới tính,Báo chí,0
đời sống xã hội,Báo chí,0
Tin tức ,Báo chí,0
tin nhanh,Báo chí,0
tin nóng,Báo chí,0
drama,Báo chí,0
tin hot,Báo chí,0
